、,補助記号-読点-*-*-*-*
ゆく,動詞-非自立可能-*-*-五段-カ行-連体形-一般
早く,形容詞-一般-*-*-形容詞-連用形-一般
裸体,名詞-普通名詞-一般-*-*-*
度,名詞-普通名詞-助数詞可能-*-*-*
見える,動詞-一般-*-*-下一段-ア行-終止形-一般
塔楼,名詞-普通名詞-一般-*-*-*
夕陽,名詞-普通名詞-一般-*-*-*
走り,動詞-一般-*-*-五段-ラ行-連用形-一般
フィロストラトス,名詞-固有名詞-人名-一般-*-*
叫ん,動詞-一般-*-*-五段-バ行-連用形-撥音便
大きい,形容詞-一般-*-*-形容詞-連体形-一般
見つめ,動詞-一般-*-*-下一段-マ行-連用形-一般
間に合わ,動詞-一般-*-*-五段-ワア行-未然形-一般
つい,動詞-非自立可能-*-*-五段-カ行-連用形-イ音便
走る,動詞-一般-*-*-五段-ラ行-終止形-一般
釣り上げ,動詞-一般-*-*-下一段-ガ行-未然形-一般
一度,名詞-普通名詞-副詞可能-*-*-*
抱擁,名詞-普通名詞-サ変可能-*-*-*
仲間,名詞-普通名詞-一般-*-*-*
万歳,名詞-普通名詞-サ変可能-*-*-*
マント,名詞-普通名詞-一般-*-*-*
かの,連体詞-*-*-*-*-*
暴虐,名詞-普通名詞-形状詞可能-*-*-*
除か,動詞-一般-*-*-五段-カ行-未然形-一般
政治,名詞-普通名詞-一般-*-*-*
笛,名詞-普通名詞-一般-*-*-*
吹き,動詞-一般-*-*-五段-カ行-連用形-一般
遊ん,動詞-一般-*-*-五段-バ行-連用形-撥音便
邪悪,名詞-普通名詞-形状詞可能-*-*-*
対し,動詞-一般-*-*-サ行変格-連用形-一般
敏感,名詞-普通名詞-形状詞可能-*-*-*
未明,名詞-普通名詞-副詞可能-*-*-*
越え,動詞-一般-*-*-下一段-ア行-連用形-一般
山越え,名詞-普通名詞-一般-*-*-*
なれ,動詞-非自立可能-*-*-下一段-ラ行-連用形-一般
父,名詞-普通名詞-一般-*-*-*
母,名詞-普通名詞-一般-*-*-*
女房,名詞-普通名詞-一般-*-*-*
内気,名詞-普通名詞-形状詞可能-*-*-*
或る,連体詞-*-*-*-*-*
律気,名詞-普通名詞-形状詞可能-*-*-*
近々,名詞-普通名詞-副詞可能-*-*-*
迎える,動詞-一般-*-*-下一段-ア行-連体形-一般
間近,形状詞-一般-*-*-*-*
ゆえ,名詞-普通名詞-副詞可能-*-*-*
御馳走,名詞-普通名詞-サ変可能-*-*-*
買い,動詞-一般-*-*-五段-ワア行-連用形-一般
はるばる,副詞-*-*-*-*-*
先ず,副詞-*-*-*-*-*
品々,名詞-普通名詞-一般-*-*-*
買い集め,動詞-一般-*-*-下一段-マ行-連用形-一般
都,名詞-普通名詞-一般-*-*-*
大路,名詞-普通名詞-一般-*-*-*
此,代名詞-*-*-*-*-*
久しく,形容詞-一般-*-*-形容詞-連用形-一般
逢わ,動詞-一般-*-*-五段-ワア行-未然形-一般
楽しみ,名詞-普通名詞-一般-*-*-*
怪しく,形容詞-一般-*-*-形容詞-連用形-一般
ひっそり,副詞-*-*-*-*-*
当りまえ,形状詞-一般-*-*-*-*
せい,名詞-普通名詞-一般-*-*-*
全体,名詞-普通名詞-一般-*-*-*
やけ,名詞-普通名詞-一般-*-*-*
寂しい,形容詞-一般-*-*-形容詞-終止形-一般
のんき,形状詞-一般-*-*-*-*
だんだん,副詞-*-*-*-*-*
不安,名詞-普通名詞-形状詞可能-*-*-*
逢っ,動詞-一般-*-*-五段-ワア行-連用形-促音便
つかまえ,動詞-一般-*-*-下一段-ア行-連用形-一般
うたっ,動詞-一般-*-*-五段-ワア行-連用形-促音便
賑やか,形状詞-一般-*-*-*-*
首,名詞-普通名詞-一般-*-*-*
逢い,動詞-一般-*-*-五段-ワア行-連用形-一般
語勢,名詞-普通名詞-一般-*-*-*
強く,形容詞-一般-*-*-形容詞-連用形-一般
ゆすぶっ,動詞-一般-*-*-五段-ラ行-連用形-促音便
重ね,動詞-一般-*-*-下一段-ナ行-連用形-一般
あたり,名詞-普通名詞-副詞可能-*-*-*
はばかる,動詞-一般-*-*-五段-ラ行-連体形-一般
低声,名詞-普通名詞-一般-*-*-*
わずか,副詞-*-*-*-*-*
なぜ,副詞-*-*-*-*-*
殺す,動詞-一般-*-*-五段-サ行-連体形-一般
抱い,動詞-一般-*-*-五段-カ行-連用形-イ音便
たくさん,形状詞-一般-*-*-*-*
はい,感動詞-一般-*-*-*-*
妹婿,名詞-普通名詞-一般-*-*-*
御自身,名詞-普通名詞-一般-*-*-*
世嗣,名詞-普通名詞-一般-*-*-*
御子,名詞-普通名詞-一般-*-*-*
皇后,名詞-普通名詞-一般-*-*-*
賢臣,名詞-普通名詞-一般-*-*-*
アレキス,名詞-固有名詞-人名-一般-*-*
おどろい,動詞-一般-*-*-五段-カ行-連用形-イ音便
国王,名詞-普通名詞-一般-*-*-*
いいえ,感動詞-一般-*-*-*-*
信ずる,動詞-一般-*-*-サ行変格-連体形-一般
このごろ,名詞-普通名詞-一般-*-*-*
臣下,名詞-普通名詞-一般-*-*-*
疑い,名詞-普通名詞-一般-*-*-*
少しく,副詞-*-*-*-*-*
派手,名詞-普通名詞-形状詞可能-*-*-*
差し出す,動詞-一般-*-*-五段-サ行-連体形-一般
命じ,動詞-一般-*-*-サ行変格-連用形-一般
御,接頭辞-*-*-*-*-*
拒め,動詞-一般-*-*-五段-マ行-仮定形-一般
十字架,名詞-普通名詞-一般-*-*-*
かけ,動詞-非自立可能-*-*-下一段-カ行-未然形-一般
六,名詞-数詞-*-*-*-*
呆れ,動詞-一般-*-*-下一段-ラ行-連用形-一般
生かし,動詞-一般-*-*-五段-サ行-連用形-一般
置け,動詞-非自立可能-*-*-下一段-カ行-未然形-一般
単純,形状詞-一般-*-*-*-*
買い物,名詞-普通名詞-サ変可能-*-*-*
背負っ,動詞-一般-*-*-五段-ワア行-連用形-促音便
のそのそ,副詞-*-*-*-*-*
はいっ,動詞-一般-*-*-五段-ラ行-連用形-促音便
巡邏,名詞-普通名詞-サ変可能-*-*-*
警吏,名詞-普通名詞-一般-*-*-*
捕縛,名詞-普通名詞-サ変可能-*-*-*
調べ,動詞-一般-*-*-下一段-バ行-未然形-一般
懐中,名詞-普通名詞-サ変可能-*-*-*
短剣,名詞-普通名詞-一般-*-*-*
騒ぎ,名詞-普通名詞-一般-*-*-*
短刀,名詞-普通名詞-一般-*-*-*
言え,動詞-一般-*-*-五段-ワア行-命令形
威厳,名詞-普通名詞-一般-*-*-*
以,動詞-一般-*-*-文語四段-タ行-連用形-促音便
問いつめ,動詞-一般-*-*-下一段-マ行-連用形-一般
蒼白,名詞-普通名詞-形状詞可能-*-*-*
眉間,名詞-普通名詞-一般-*-*-*
皺,名詞-普通名詞-一般-*-*-*
刻み込ま,動詞-一般-*-*-五段-マ行-未然形-一般
深かっ,形容詞-一般-*-*-形容詞-連用形-促音便
悪びれ,動詞-一般-*-*-下一段-ラ行-未然形-一般
憫笑,名詞-普通名詞-サ変可能-*-*-*
仕方,名詞-普通名詞-一般-*-*-*
やつ,名詞-普通名詞-一般-*-*-*
じゃ,助動詞-*-*-*-助動詞-ジャ-終止形-一般
孤独,名詞-普通名詞-形状詞可能-*-*-*
いきり立っ,動詞-一般-*-*-五段-タ行-連用形-促音便
反駁,名詞-普通名詞-サ変可能-*-*-*
恥ず,動詞-一般-*-*-文語上二段-ダ行-終止形-一般
悪徳,名詞-普通名詞-一般-*-*-*
民,名詞-普通名詞-一般-*-*-*
忠誠,名詞-普通名詞-一般-*-*-*
られる,助動詞-*-*-*-助動詞-レル-終止形-一般
正当,名詞-普通名詞-形状詞可能-*-*-*
心構え,名詞-普通名詞-一般-*-*-*
あて,名詞-普通名詞-一般-*-*-*
もともと,副詞-*-*-*-*-*
私慾,名詞-普通名詞-一般-*-*-*
かたまり,名詞-普通名詞-一般-*-*-*
落着い,動詞-一般-*-*-五段-カ行-連用形-イ音便
呟き,動詞-一般-*-*-五段-カ行-連用形-一般
望ん,動詞-一般-*-*-五段-マ行-連用形-撥音便
地位,名詞-普通名詞-一般-*-*-*
嘲笑,名詞-普通名詞-サ変可能-*-*-*
だまれ,動詞-一般-*-*-五段-ラ行-命令形
下賤,名詞-普通名詞-形状詞可能-*-*-*
さっ,副詞-*-*-*-*-*
報い,動詞-一般-*-*-上一段-ア行-連用形-一般
清らか,形状詞-一般-*-*-*-*
言える,動詞-一般-*-*-下一段-ア行-終止形-一般
腹,名詞-普通名詞-一般-*-*-*
綿,名詞-普通名詞-一般-*-*-*
奥底,名詞-普通名詞-一般-*-*-*
見え透い,動詞-一般-*-*-五段-カ行-連用形-イ音便
たって,助詞-接続助詞-*-*-*-*
聞か,動詞-一般-*-*-五段-カ行-未然形-一般
悧巧,形状詞-一般-*-*-*-*
自惚れ,動詞-一般-*-*-下一段-ラ行-連用形-一般
ちゃんと,副詞-*-*-*-*-*
る,助動詞-*-*-*-文語助動詞-リ-連体形-一般
居る,動詞-非自立可能-*-*-上一段-ア行-連体形-一般
命乞い,名詞-普通名詞-一般-*-*-*
言いかけ,動詞-一般-*-*-下一段-カ行-連用形-一般
視線,名詞-普通名詞-一般-*-*-*
落し,動詞-一般-*-*-五段-サ行-連用形-一般
瞬時,名詞-普通名詞-副詞可能-*-*-*
ためらい,名詞-普通名詞-一般-*-*-*
かけ,動詞-非自立可能-*-*-下一段-カ行-連用形-一般
処刑,名詞-普通名詞-サ変可能-*-*-*
日限,名詞-普通名詞-一般-*-*-*
与え,動詞-一般-*-*-下一段-ア行-連用形-一般
持た,動詞-一般-*-*-五段-タ行-未然形-一般
挙げ,動詞-非自立可能-*-*-下一段-ガ行-未然形-一般
させ,助動詞-*-*-*-下一段-サ行-連用形-一般
ばか,名詞-普通名詞-形状詞可能-*-*-*
低く,形容詞-一般-*-*-形容詞-連用形-一般
とんでも,副詞-*-*-*-*-*
逃がし,動詞-一般-*-*-五段-サ行-連用形-一般
小鳥,名詞-普通名詞-一般-*-*-*
言い張っ,動詞-一般-*-*-五段-ラ行-連用形-促音便
守り,動詞-一般-*-*-五段-ラ行-連用形-一般
許し,動詞-一般-*-*-五段-サ行-連用形-一般
帰り,名詞-普通名詞-一般-*-*-*
よろしい,形容詞-一般-*-*-形容詞-終止形-一般
無二,名詞-普通名詞-一般-*-*-*
逃げ,動詞-一般-*-*-下一段-ガ行-連用形-一般
日暮,名詞-普通名詞-一般-*-*-*
絞め殺し,動詞-一般-*-*-五段-サ行-連用形-一般
たのむ,動詞-一般-*-*-五段-マ行-連体形-一般
残虐,名詞-普通名詞-形状詞可能-*-*-*
北叟笑ん,動詞-一般-*-*-五段-マ行-連用形-撥音便
生意気,名詞-普通名詞-形状詞可能-*-*-*
どうせ,副詞-*-*-*-*-*
きまっ,動詞-一般-*-*-五段-ラ行-連用形-促音便
嘘つき,名詞-普通名詞-形状詞可能-*-*-*
騙さ,動詞-一般-*-*-五段-サ行-未然形-一般
振り,名詞-普通名詞-助数詞可能-*-*-*
放し,動詞-一般-*-*-五段-サ行-連用形-一般
面白い,形容詞-一般-*-*-形容詞-終止形-一般
気味,名詞-普通名詞-一般-*-*-*
悲しい,形容詞-一般-*-*-形容詞-連体形-一般
磔刑,名詞-普通名詞-一般-*-*-*
処し,動詞-一般-*-*-サ行変格-連用形-一般
世の中,名詞-普通名詞-一般-*-*-*
正直,副詞-*-*-*-*-*
奴輩,名詞-普通名詞-一般-*-*-*
うんと,感動詞-フィラー-*-*-*-*
見せつけ,動詞-一般-*-*-下一段-カ行-連用形-一般
呼ぶ,動詞-一般-*-*-五段-バ行-終止形-一般
殺す,動詞-一般-*-*-五段-サ行-終止形-一般
なに,代名詞-*-*-*-*-*
おっしゃる,動詞-一般-*-*-五段-ラ行-終止形-一般
はは,感動詞-一般-*-*-*-*
わかっ,動詞-一般-*-*-五段-ラ行-連用形-促音便
口惜しく,形容詞-一般-*-*-形容詞-連用形-一般
地団駄,名詞-普通名詞-一般-*-*-*
踏ん,動詞-一般-*-*-五段-マ行-連用形-撥音便
たく,助動詞-*-*-*-助動詞-タイ-連用形-一般
深夜,名詞-普通名詞-副詞可能-*-*-*
召さ,動詞-一般-*-*-五段-サ行-未然形-一般
面前,名詞-普通名詞-一般-*-*-*
ぶり,接尾辞-名詞的-一般-*-*-*
相,接頭辞-*-*-*-*-*
逢う,動詞-一般-*-*-五段-ワア行-連用形-ウ音便
一切,名詞-普通名詞-副詞可能-*-*-*
語っ,動詞-一般-*-*-五段-ラ行-連用形-促音便
無言,名詞-普通名詞-一般-*-*-*
抱きしめ,動詞-一般-*-*-下一段-マ行-連用形-一般
よかっ,形容詞-非自立可能-*-*-形容詞-連用形-促音便
初夏,名詞-普通名詞-一般-*-*-*
満天,名詞-普通名詞-一般-*-*-*
星,名詞-普通名詞-一般-*-*-*
一睡,名詞-普通名詞-サ変可能-*-*-*
急ぎ,動詞-一般-*-*-五段-ガ行-連用形-一般
午前,名詞-普通名詞-副詞可能-*-*-*
仕事,名詞-普通名詞-サ変可能-*-*-*
代り,名詞-普通名詞-一般-*-*-*
羊群,名詞-普通名詞-一般-*-*-*
番,名詞-普通名詞-助数詞可能-*-*-*
よろめい,動詞-一般-*-*-五段-カ行-連用形-イ音便
困憊,名詞-普通名詞-サ変可能-*-*-*
見つけ,動詞-一般-*-*-下一段-カ行-連用形-一般
驚い,動詞-一般-*-*-五段-カ行-連用形-イ音便
うるさく,形容詞-一般-*-*-形容詞-連用形-一般
浴びせ,動詞-一般-*-*-下一段-サ行-連用形-一般
無理,名詞-普通名詞-形状詞可能-*-*-*
笑おう,動詞-一般-*-*-五段-ワア行-意志推量形
残し,動詞-一般-*-*-五段-サ行-連用形-一般
挙げる,動詞-非自立可能-*-*-下一段-ガ行-終止形-一般
早い,形容詞-一般-*-*-形容詞-連体形-一般
ほう,名詞-普通名詞-一般-*-*-*
よかろう,形容詞-非自立可能-*-*-形容詞-意志推量形
うれしい,形容詞-一般-*-*-形容詞-終止形-一般
綺麗,形状詞-一般-*-*-*-*
買っ,動詞-一般-*-*-五段-ワア行-連用形-促音便
さあ,感動詞-一般-*-*-*-*
あすだ,名詞-固有名詞-地名-一般-*-*
歩き,動詞-一般-*-*-五段-カ行-連用形-一般
祭壇,名詞-普通名詞-一般-*-*-*
飾り,動詞-一般-*-*-五段-ラ行-連用形-一般
席,名詞-普通名詞-一般-*-*-*
調え,動詞-一般-*-*-下一段-ア行-連用形-一般
間,名詞-普通名詞-助数詞可能-*-*-*
床,名詞-普通名詞-一般-*-*-*
倒れ伏し,動詞-一般-*-*-五段-サ行-連用形-一般
深い,形容詞-一般-*-*-形容詞-連体形-一般
眠り,名詞-普通名詞-一般-*-*-*
起き,動詞-一般-*-*-上一段-カ行-連用形-一般
訪れ,動詞-一般-*-*-下一段-ラ行-連用形-一般
頼ん,動詞-一般-*-*-五段-マ行-連用形-撥音便
驚き,動詞-一般-*-*-五段-カ行-連用形-一般
いけ,動詞-非自立可能-*-*-下一段-カ行-未然形-一般
こちら,代名詞-*-*-*-*-*
未だ,副詞-*-*-*-*-*
葡萄,名詞-普通名詞-一般-*-*-*
季節,名詞-普通名詞-一般-*-*-*
待つ,動詞-一般-*-*-五段-タ行-連体形-一般
給え,動詞-非自立可能-*-*-五段-ワア行-命令形
更に,副詞-*-*-*-*-*
押し,動詞-一般-*-*-五段-サ行-連用形-一般
たのん,動詞-一般-*-*-五段-マ行-連用形-撥音便
頑強,形状詞-一般-*-*-*-*
なかなか,副詞-*-*-*-*-*
承諾,名詞-普通名詞-サ変可能-*-*-*
夜明け,名詞-普通名詞-一般-*-*-*
議論,名詞-普通名詞-サ変可能-*-*-*
やっと,副詞-*-*-*-*-*
なだめ,動詞-一般-*-*-下一段-マ行-連用形-一般
すかし,動詞-一般-*-*-五段-サ行-連用形-一般
説き伏せ,動詞-一般-*-*-下一段-サ行-連用形-一般
行わ,動詞-一般-*-*-五段-ワア行-未然形-一般
新郎,名詞-普通名詞-一般-*-*-*
新婦,名詞-普通名詞-一般-*-*-*
宣誓,名詞-普通名詞-サ変可能-*-*-*
済ん,動詞-一般-*-*-五段-マ行-連用形-撥音便
ころ,名詞-普通名詞-副詞可能-*-*-*
黒雲,名詞-普通名詞-一般-*-*-*
空,名詞-普通名詞-一般-*-*-*
覆い,動詞-一般-*-*-五段-ワア行-連用形-一般
ぽつりぽつり,副詞-*-*-*-*-*
降り,動詞-一般-*-*-五段-ラ行-連用形-一般
車軸,名詞-普通名詞-一般-*-*-*
流す,動詞-一般-*-*-五段-サ行-連体形-一般
大雨,名詞-普通名詞-一般-*-*-*
列席,名詞-普通名詞-サ変可能-*-*-*
めいめい,名詞-普通名詞-一般-*-*-*
引きたて,動詞-一般-*-*-下一段-タ行-連用形-一般
狭い,形容詞-一般-*-*-形容詞-連体形-一般
むんむん,副詞-*-*-*-*-*
蒸し暑い,形容詞-一般-*-*-形容詞-連体形-一般
怺え,動詞-一般-*-*-下一段-ア行-連用形-一般
陽気,形状詞-一般-*-*-*-*
うたい,動詞-一般-*-*-五段-ワア行-連用形-一般
拍っ,動詞-一般-*-*-五段-タ行-連用形-促音便
満面,名詞-普通名詞-一般-*-*-*
喜色,名詞-普通名詞-一般-*-*-*
湛え,動詞-一般-*-*-下一段-ア行-連用形-一般
入っ,動詞-一般-*-*-五段-ラ行-連用形-促音便
乱れ,動詞-一般-*-*-下一段-ラ行-連用形-一般
華やか,形状詞-一般-*-*-*-*
人々,名詞-普通名詞-一般-*-*-*
外,名詞-普通名詞-一般-*-*-*
全く,副詞-*-*-*-*-*
一生,名詞-普通名詞-副詞可能-*-*-*
生涯,名詞-普通名詞-副詞可能-*-*-*
願っ,動詞-非自立可能-*-*-五段-ワア行-連用形-促音便
鞭打ち,動詞-一般-*-*-五段-タ行-連用形-一般
分,接尾辞-名詞的-サ変可能-*-*-*
一眠り,名詞-普通名詞-サ変可能-*-*-*
しよう,動詞-非自立可能-*-*-サ行変格-意志推量形
いよう,動詞-非自立可能-*-*-上一段-ア行-意志推量形
永く,形容詞-一般-*-*-形容詞-連用形-一般
愚図愚図,副詞-*-*-*-*-*
とどまっ,動詞-一般-*-*-五段-ラ行-連用形-促音便
たかっ,助動詞-*-*-*-助動詞-タイ-連用形-促音便
呆然,形状詞-タリ-*-*-*-*
歓喜,名詞-普通名詞-サ変可能-*-*-*
酔っ,動詞-一般-*-*-五段-ワア行-連用形-促音便
らしい,助動詞-*-*-*-助動詞-ラシイ-連体形-一般
近寄り,動詞-一般-*-*-五段-ラ行-連用形-一般
おめでとう,感動詞-一般-*-*-*-*
ご免,名詞-普通名詞-一般-*-*-*
こうむっ,動詞-一般-*-*-五段-ラ行-連用形-促音便
眠り,動詞-一般-*-*-五段-ラ行-連用形-一般
出かける,動詞-一般-*-*-下一段-カ行-終止形-一般
大切,形状詞-一般-*-*-*-*
優しい,形容詞-一般-*-*-形容詞-連体形-一般
寂しい,形容詞-一般-*-*-形容詞-連体形-一般
きらい,名詞-普通名詞-形状詞可能-*-*-*
つく,動詞-一般-*-*-五段-カ行-連体形-一般
知っ,動詞-一般-*-*-五段-ラ行-連用形-促音便
ね,助詞-終助詞-*-*-*-*
秘密,名詞-普通名詞-形状詞可能-*-*-*
作っ,動詞-一般-*-*-五段-ラ行-連用形-促音便
たぶん,副詞-*-*-*-*-*
偉い,形容詞-一般-*-*-形容詞-連体形-一般
誇り,名詞-普通名詞-一般-*-*-*
いろ,動詞-非自立可能-*-*-上一段-ア行-命令形
夢見,名詞-普通名詞-一般-*-*-*
心地,名詞-普通名詞-一般-*-*-*
首肯い,動詞-一般-*-*-五段-カ行-連用形-イ音便
肩,名詞-普通名詞-一般-*-*-*
たたい,動詞-一般-*-*-五段-カ行-連用形-イ音便
互,名詞-普通名詞-一般-*-*-*
いっ,動詞-一般-*-*-五段-ワア行-連用形-促音便
あげよう,動詞-非自立可能-*-*-下一段-ガ行-意志推量形
弟,名詞-普通名詞-一般-*-*-*
誇っ,動詞-一般-*-*-五段-ラ行-連用形-促音便
揉み手,名詞-普通名詞-サ変可能-*-*-*
てれ,動詞-一般-*-*-下一段-ラ行-連用形-一般
会釈,名詞-普通名詞-サ変可能-*-*-*
立ち去り,動詞-一般-*-*-五段-ラ行-連用形-一般
小屋,名詞-普通名詞-一般-*-*-*
もぐり込ん,動詞-一般-*-*-五段-マ行-連用形-撥音便
深く,形容詞-一般-*-*-形容詞-連用形-一般
眠っ,動詞-一般-*-*-五段-ラ行-連用形-促音便
薄明,名詞-普通名詞-一般-*-*-*
跳ね起き,動詞-一般-*-*-上一段-カ行-連用形-一般
南無三,感動詞-一般-*-*-*-*
寝過し,動詞-一般-*-*-五段-サ行-連用形-一般
まだまだ,副詞-*-*-*-*-*
刻限,名詞-普通名詞-一般-*-*-*
分間,名詞-普通名詞-助数詞可能-*-*-*
合う,動詞-非自立可能-*-*-五段-ワア行-終止形-一般
是非,副詞-*-*-*-*-*
存する,動詞-一般-*-*-サ行変格-連体形-一般
上っ,動詞-一般-*-*-五段-ラ行-連用形-促音便
悠々,形状詞-タリ-*-*-*-*
いくぶん,名詞-普通名詞-副詞可能-*-*-*
ぶるん,副詞-*-*-*-*-*
両腕,名詞-普通名詞-一般-*-*-*
雨中,名詞-普通名詞-副詞可能-*-*-*
矢,名詞-普通名詞-一般-*-*-*
走り出,動詞-一般-*-*-下一段-ダ行-連用形-一般
奸佞,名詞-普通名詞-形状詞可能-*-*-*
打ち破る,動詞-一般-*-*-五段-ラ行-連体形-一般
走ら,動詞-一般-*-*-五段-ラ行-未然形-一般
守れ,動詞-一般-*-*-五段-ラ行-命令形
さらば,感動詞-一般-*-*-*-*
ふるさと,名詞-普通名詞-一般-*-*-*
つらかっ,形容詞-一般-*-*-形容詞-連用形-促音便
立ちどまり,動詞-一般-*-*-五段-ラ行-連用形-一般
そう,形状詞-助動詞語幹-*-*-*-*
自身,名詞-普通名詞-副詞可能-*-*-*
叱り,動詞-一般-*-*-五段-ラ行-連用形-一般
横切り,動詞-一般-*-*-五段-ラ行-連用形-一般
森,名詞-普通名詞-一般-*-*-*
くぐり抜け,動詞-一般-*-*-下一段-カ行-連用形-一般
隣村,名詞-普通名詞-一般-*-*-*
着い,動詞-一般-*-*-五段-カ行-連用形-イ音便
止み,動詞-一般-*-*-五段-マ行-連用形-一般
暑く,形容詞-一般-*-*-形容詞-連用形-一般
額,名詞-普通名詞-一般-*-*-*
汗,名詞-普通名詞-一般-*-*-*
こぶし,名詞-普通名詞-一般-*-*-*
払い,動詞-一般-*-*-五段-ワア行-連用形-一般
来れ,動詞-非自立可能-*-*-カ行変格-仮定形-一般
故郷,名詞-普通名詞-一般-*-*-*
気がかり,形状詞-一般-*-*-*-*
まっすぐ,形状詞-一般-*-*-*-*
行き着け,動詞-一般-*-*-五段-カ行-仮定形-一般
よい,形容詞-非自立可能-*-*-形容詞-連体形-一般
急ぐ,動詞-一般-*-*-五段-ガ行-連体形-一般
必要,名詞-普通名詞-形状詞可能-*-*-*
ゆっくり,副詞-*-*-*-*-*
歩こう,動詞-一般-*-*-五段-カ行-意志推量形
持ちまえ,名詞-普通名詞-一般-*-*-*
呑気,形状詞-一般-*-*-*-*
さ,接尾辞-名詞的-一般-*-*-*
取り返し,動詞-一般-*-*-五段-サ行-連用形-一般
好き,形状詞-一般-*-*-*-*
小歌,名詞-普通名詞-一般-*-*-*
歌い出し,動詞-一般-*-*-五段-サ行-連用形-一般
行き,接尾辞-名詞的-一般-*-*-*
里程,名詞-普通名詞-一般-*-*-*
半ば,名詞-普通名詞-副詞可能-*-*-*
到達,名詞-普通名詞-サ変可能-*-*-*
降っ,動詞-一般-*-*-五段-ラ行-連用形-促音便
湧い,動詞-一般-*-*-五段-カ行-連用形-イ音便
災難,名詞-普通名詞-一般-*-*-*
足,名詞-普通名詞-一般-*-*-*
はたと,副詞-*-*-*-*-*
とまっ,動詞-一般-*-*-五段-ラ行-連用形-促音便
見よ,動詞-非自立可能-*-*-上一段-マ行-命令形
前方,名詞-普通名詞-一般-*-*-*
川,名詞-普通名詞-一般-*-*-*
きのう,名詞-普通名詞-副詞可能-*-*-*
山,名詞-普通名詞-一般-*-*-*
水源地,名詞-普通名詞-一般-*-*-*
氾濫,名詞-普通名詞-サ変可能-*-*-*
滔々,形状詞-タリ-*-*-*-*
下流,名詞-普通名詞-一般-*-*-*
集り,動詞-一般-*-*-五段-ラ行-連用形-一般
猛勢,名詞-普通名詞-サ変可能-*-*-*
一挙,名詞-普通名詞-一般-*-*-*
橋,名詞-普通名詞-一般-*-*-*
破壊,名詞-普通名詞-サ変可能-*-*-*
響き,名詞-普通名詞-一般-*-*-*
あげる,動詞-非自立可能-*-*-下一段-ガ行-連体形-一般
激流,名詞-普通名詞-一般-*-*-*
